threads;tempo(s);;Média T1;0,5910892;;;;;threads;tempo(s);;Média T1 (O4);0,3202028
1;0,537525;;Média T2;0,343126;;;;;1;0,330252;;Média T2 (O4);0,2112224
1;0,770576;;Média T3;0,3449596;;;;;1;0,312852;;Média T3 (O4);0,2221614
1;0,62202;;;;;;;;1;0,316391;;;
1;0,518429;;;;;;;;1;0,328974;;;
1;0,506896;;;;;;;;1;0,312545;;;
2;0,34637;;;;;;;;2;0,208666;;;
2;0,360468;;;;;;;;2;0,21931;;;
2;0,320351;;;;;;;;2;0,206572;;;
2;0,363264;;;;;;;;2;0,213083;;;
2;0,325177;;;;;;;;2;0,208481;;;
4;0,302592;;;;;;;;4;0,209816;;;
4;0,292341;;;;;;;;4;0,215355;;;
4;0,343875;;;;;;;;4;0,215138;;;
4;0,387457;;;;;;;;4;0,217084;;;
4;0,398533;;;;;;;;4;0,253414;;;
